open_time,open,high,low,close
1787900400000,79863.9,79864.0,79630.8,79662.2
1787901300000,79662.2,79791.7,79643.5,79775.6
1787902200000,79775.7,79783.2,79538.9,79560.8
1787903100000,79560.7,79645.9,79560.7,79645.6
1787904000000,79645.7,79815.0,79645.6,79709.6
1787904900000,79709.6,79810.0,79709.6,79747.3
1787905800000,79747.2,79783.5,79682.4,79682.5
1787906700000,79682.6,79700.0,79440.0,79484.0
1787907600000,79483.9,79487.5,79179.7,79352.3
1787908500000,79352.3,79439.2,79336.1,79352.8
1787909400000,79352.9,79427.0,79232.2,79238.6
1787910300000,79238.6,79327.0,79238.6,79254.5
1787911200000,79254.5,79285.5,78961.5,79180.9
1787912100000,79180.8,79276.7,79110.0,79265.1
1787913000000,79265.1,79350.5,79255.8,79290.1
1787913900000,79290.1,79545.6,79275.0,79528.4
1787914800000,79528.4,79691.8,79510.3,79658.9
1787915700000,79659.0,79733.7,79604.0,79627.8
1787916600000,79627.7,79708.7,79545.0,79584.8
1787917500000,79584.7,79610.1,79504.7,79563.2
1787918400000,79563.2,79638.3,79467.8,79497.0
1787919300000,79497.0,79685.0,79471.8,79481.4
1787920200000,79481.3,79495.1,79264.2,79377.1
1787921100000,79377.1,79413.4,79314.0,79383.7
1787922000000,79383.7,79447.7,79236.0,79343.0
1787922900000,79343.1,79343.1,78972.8,79160.1
1787923800000,79160.1,79332.0,78980.5,79052.2
1787924700000,79052.1,79511.2,79031.3,79279.9
1787925600000,79281.7,79683.2,78400.0,78601.7
1787926500000,78601.8,78993.7,78475.0,78909.8
1787927400000,78909.8,79665.8,78805.9,79382.7
1787928300000,79382.7,79568.2,79048.9,79512.3
1787929200000,79512.3,79840.0,79250.0,79269.9
1787930100000,79269.9,79492.8,79186.9,79310.0
1787931000000,79310.0,79320.0,78744.1,78769.1
1787931900000,78769.2,78888.0,78271.0,78309.0
1787932800000,78309.0,78381.6,77800.0,77801.6
1787933700000,77801.7,77839.0,76853.1,77507.3
1787934600000,77507.2,77942.6,77480.7,77768.3
1787935500000,77768.3,77968.6,77736.8,77755.9
1787936400000,77755.8,78026.0,77626.9,77973.5
1787937300000,77973.5,78099.0,77773.2,77916.0
1787938200000,77915.9,77974.9,77668.4,77757.6
1787939100000,77757.7,77992.5,77757.6,77877.1
1787940000000,77877.1,77913.0,77702.9,77711.6
1787940900000,77711.5,77769.4,77479.2,77559.3
1787941800000,77559.3,77600.0,77302.4,77390.6
1787942700000,77390.5,77533.4,77242.8,77533.4
1787943600000,77533.4,77714.1,77489.4,77640.9
1787944500000,77640.9,77807.7,77597.1,77670.6
1787945400000,77670.6,77681.9,77510.1,77510.1
1787946300000,77510.1,77579.3,77286.7,77546.4
1787947200000,77546.3,77591.0,77442.2,77541.7
1787948100000,77541.7,77541.8,77381.5,77486.0
1787949000000,77486.0,77486.0,77280.0,77374.1
1787949900000,77374.0,77435.0,77308.9,77377.0
1787950800000,77377.0,77409.8,77298.3,77374.1
1787951700000,77374.0,77398.0,77288.2,77381.9
1787952600000,77381.9,77507.7,77381.8,77449.3
1787953500000,77449.3,77449.3,77210.8,77341.9
1787954400000,77342.0,77428.8,77310.8,77421.8
1787955300000,77421.8,77565.7,77365.6,77539.9
1787956200000,77540.0,77720.0,77528.1,77709.1
1787957100000,77709.1,77742.0,77645.0,77723.8
1787958000000,77723.9,77748.0,77646.7,77733.0
1787958900000,77733.0,77733.0,77628.4,77649.9
1787959800000,77649.9,77684.4,77641.0,77662.0
1787960700000,77662.0,77824.1,77606.9,77805.9
1787961600000,77805.9,77875.9,77750.0,77780.1
1787962500000,77780.0,77920.0,77780.0,77868.2
1787963400000,77868.1,77868.2,77733.1,77757.1
1787964300000,77757.0,77786.9,77686.1,77703.7
1787965200000,77703.7,77703.7,77596.0,77610.4
1787966100000,77610.4,77761.3,77610.4,77761.2
1787967000000,77761.3,77799.9,77727.3,77798.4
1787967900000,77798.4,77816.0,77721.4,77762.2
1787968800000,77762.2,77797.4,77708.8,77708.9
1787969700000,77708.8,77719.0,77544.1,77604.4
1787970600000,77604.4,77653.9,77561.1,77591.4
1787971500000,77591.4,77684.8,77591.4,77643.2
1787972400000,77643.2,77700.0,77643.1,77653.1
1787973300000,77653.2,77688.0,77600.0,77657.2
1787974200000,77657.3,77679.0,77550.0,77591.7
1787975100000,77591.7,77591.8,77470.6,77482.2
1787976000000,77482.3,77572.3,77482.2,77561.4
1787976900000,77561.3,77588.1,77553.6,77581.8
1787977800000,77581.8,77616.5,77555.0,77588.2
1787978700000,77588.2,77651.4,77581.2,77619.7
1787979600000,77619.6,77690.0,77600.0,77671.3
1787980500000,77671.2,77675.0,77605.3,77629.5
1787981400000,77629.5,77691.8,77606.4,77658.1
1787982300000,77658.1,77667.3,77574.9,77607.0
1787983200000,77606.9,77608.0,77441.8,77453.1
1787984100000,77453.1,77494.5,77353.0,77387.4
